run_accession	sample_title
ERR1073208	10317.000003023
ERR1073209	10317.000003024
ERR1073210	10317.000003026
ERR1073211	10317.000003082
ERR1073212	10317.000003086
ERR1073213	10317.000003125
ERR1073214	10317.000003126
ERR1073215	10317.000003136
ERR1073216	10317.000003149
ERR1073217	10317.000003150
ERR1073218	10317.000003169
ERR1073219	10317.000003170
ERR1073220	10317.000003171
ERR1073221	10317.000003193
ERR1073222	10317.000003220
ERR1073223	10317.000003221
ERR1073224	10317.000003222
ERR1073225	10317.000003240
ERR1073226	10317.000003277
ERR1073227	10317.000003279
ERR1073228	10317.000003319
ERR1073229	10317.000003337
ERR1073230	10317.000003368
ERR1073231	10317.000003369
ERR1073232	10317.000003370
ERR1073233	10317.000003387
ERR1073234	10317.000003438
ERR1073235	10317.000003442
ERR1073236	10317.000003473
ERR1073237	10317.000003475
ERR1073238	10317.000003476
ERR1073239	10317.000003602
ERR1073240	10317.000003603
ERR1073241	10317.000003713
ERR1073242	10317.000003757
ERR1073243	10317.000003793
ERR1073244	10317.000003794
ERR1073245	10317.000003795
ERR1073246	10317.000003796
ERR1073247	10317.000003797
ERR1073248	10317.000003798
ERR1073249	10317.000003894
ERR1073250	10317.000003895
ERR1073251	10317.000003900
ERR1073252	10317.000004144
ERR1073253	10317.000004145
ERR1073254	10317.000004163
ERR1073255	10317.000004272
ERR1073256	10317.000004273
ERR1073257	10317.000004281
ERR1073258	10317.000004611
ERR1073259	10317.000004612
ERR1073260	10317.000004616
ERR1073261	10317.000004633
ERR1073262	10317.000004636
ERR1073263	10317.000004640
ERR1073264	10317.000004641
ERR1073265	10317.000004642
ERR1073266	10317.000004652
ERR1073267	10317.000004654
ERR1073268	10317.000004656
ERR1073269	10317.000004660
ERR1073270	10317.000004662
ERR1073271	10317.000004667
ERR1073272	10317.000004670
ERR1073273	10317.000004676
ERR1073274	10317.000004677
ERR1073275	10317.000004679
ERR1073276	10317.000004686
ERR1073277	10317.000004691
ERR1073278	10317.000004694
ERR1073279	10317.000004695
ERR1073280	10317.000004696
ERR1073281	10317.000004697
ERR1073282	10317.000004699
ERR1073283	10317.000004707
ERR1073284	10317.000004709
ERR1073285	10317.000004711
ERR1073286	10317.000004714
ERR1073287	10317.000004716
ERR1073288	10317.000004726
ERR1073289	10317.000004730
ERR1073290	10317.000004731
ERR1073291	10317.000004735
ERR1073292	10317.000004736
ERR1073293	10317.000004737
ERR1073294	10317.000004738
ERR1073295	10317.000004752
ERR1073296	10317.000004753
ERR1073297	10317.000004758
ERR1073298	10317.000004759
ERR1073299	10317.000004773
ERR1073300	10317.000004774
ERR1073301	10317.000004780
ERR1073302	10317.000004781
ERR1073303	10317.000004782
ERR1073304	10317.000004783
ERR1073305	10317.000004796
ERR1073306	10317.000004797
ERR1073307	10317.000004807
ERR1073308	10317.000004811
ERR1073309	10317.000004812
ERR1073310	10317.000004818
ERR1073311	10317.000004819
ERR1073312	10317.000004822
ERR1073313	10317.000004823
ERR1073314	10317.000004830
ERR1073315	10317.000004831
